Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	archivo_origen
181	1	1	36.0	40.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
182	1	1	38.0	42.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
183	1	1	40.0	44.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
184	1	1	42.0	46.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
185	1	1	44.0	48.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
186	1	1	46.0	50.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
187	1	1	48.0	52.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
188	1	1	50.0	54.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
189	1	1	52.0	56.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180602.wav
190	1	1	0.0	4.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
191	1	1	2.0	6.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
192	1	1	4.0	8.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
193	1	1	6.0	10.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
194	1	1	8.0	12.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
195	1	1	10.0	14.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
196	1	1	12.0	16.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
197	1	1	14.0	18.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
198	1	1	16.0	20.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
199	1	1	18.0	22.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
200	1	1	20.0	24.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
201	1	1	22.0	26.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
202	1	1	24.0	28.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
203	1	1	26.0	30.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
204	1	1	28.0	32.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
205	1	1	30.0	34.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
206	1	1	32.0	36.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
207	1	1	34.0	38.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
208	1	1	36.0	40.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
209	1	1	38.0	42.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
210	1	1	40.0	44.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
211	1	1	42.0	46.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
212	1	1	44.0	48.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
213	1	1	46.0	50.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
214	1	1	48.0	52.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
215	1	1	50.0	54.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
216	1	1	52.0	56.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180702.wav
217	1	1	0.0	4.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav
218	1	1	2.0	6.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav
219	1	1	4.0	8.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav
220	1	1	6.0	10.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav
221	1	1	8.0	12.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav
222	1	1	10.0	14.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav
223	1	1	12.0	16.0	0.0	8000.0	cluster_3	CANTERA1Tapy/CANTERA1TAPY_20250603_180802.wav
